 u'starbucks#lelinatorfamily'	3
 u'right'	1552
 u'previously'	88
 u'ourplanetdaily'	3
 u'thefemalewarhol'	1
 u'@claireandlouise'	1
 u'patiently'	4
 u'raytoro'	2
 u'isitoveryet'	1
 u'hunt_hard'	1
 u'femyeah'	1
 u'possibly'	26
 u'\U0001f3a3just'	1
 u'@mollypriddy'	2
 u'tukutaneoceanroad9_9'	1
 u'scattabcn'	1
 u'l4f'	4
 u'eerily'	1
 u'richkidsofsnapchat'	1
 u'selfworth'	1
 u'createexploretakeover'	10
 u'canadianphotographer'	3
 u'mihaelamarinova'	2
 u'deaddoorpost'	1
 u'neworleansfood'	1
 u'@cocacola_esp'	4
 u'cawfamily'	1
 u'@just__selly'	1
 u'presumably'	2
 u'then'	171
 u'ethically'	1
 u'loveyoursmile\U0001f60d'	1
 u'you-'	14
 u'backintime'	2
 u'kamaleontti'	1
 u'californiaburgersmelb'	1
 u'yahama'	1
 u'namjoon'	1
 u'oo'	1
 u'ecofriendly'	4
 u'yeezy350boost'	1
 u'truly'	46
 u'samawdomu'	2
 u'satisfactorily'	1
 u'urgently'	1
 u'greatly'	4
 u'artiseverywhere'	4
 u'caffeinelover'	3
 u'75pct'	1
 u'getinmybelly'	294
 u'speedfoodfirst'	1
 u'healthier'	4
 u'\U0001f631\U0001f631\U0001f631\U0001f631\U0001f631\U0001f631\U0001f631\U0001f631\U0001f631\U0001f631\U0001f631\U0001f631\U0001f631#model'	1
 u'dummy'	2
 u'lily'	4
 u'thoughtfully'	1
 u'sneakerhead'	33
 u'spraypaintart'	4
 u'eats\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014\u2014'	1
 u'originalpenguin'	2
 u'whilst'	1
 u'cutthecarbs#ketoaustralia#ketoau'	1
 u'london_only'	3
 u'sensually'	1
 u'atthecastle'	5
 u'exclusively'	11
 u'hmmm'	1
 u'least'	1
 u'@camellia_arul'	1
 u'boostmobile'	1
 u'x\xe3'	1
 u'lol'	41
 u'wichitafallstexas'	1
 u'thereisamessagehere'	1
 u'\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f\u25fd\ufe0f'	1
 u'bubbly'	16
 u'v'	1
 u'quietly'	6
 u'@berberbob'	1
 u'\U0001f60d\U0001f354'	3
 u'quick'	6
 u'ig_art'	1
 u'ace'	1
 u'elvisdepressedly'	1
 u'spoil'	2
 u'rolexgmtmaster2'	3
 u'slimmingworldfriendly'	2
 u'facgsleli'	9
 u'aquanautlady'	1
 u'high_larry_us'	1
 u'@powerpecs'	1
 u'conclusively'	1
 u'fathersontime'	1
 u'nokte'	1
 u'sickeningly'	1
 u'deliberately'	1
 u'@disneyland'	1
 u'icesphere'	1
 u'mendeserveflowerstoo'	2
 u'indirectly'	4
 u'@personalisemystuff'	1
 u'first'	50
 u'btw'	17
 u'brazenly'	1
 u'nearby'	17
 u'locally'	10
 u'aloud'	2
 u'ngi'	2
 u'\uae40\ud0dc\ud615'	8
 u'inland'	1
 u'selly'	1
 u'luckily'	26
 u'gracefully'	5
 u'deintm'	1
 u'orlandoeye'	20
 u'neweek'	1
 u'similarly'	2
 u'awake'	2
 u'thinspo.\U0001f339follow'	1
 u'nochillhumor'	1
 u'curteai'	2
 u'guiltily'	1
 u'tht'	1
 u'mensweardaily'	3
 u'\U0001f602\U0001f44f\U0001f3fb#blackmedicine'	2
 u'increasingly'	52
 u'online'	167
 u'ungrammatically'	3
 u'over'	2
 u'enough\u2019'	1
 u'etsystore'	1
 u'lelifamily'	1
 u'dreamily'	1
 u'sfx'	1
 u'deeply'	25
 u'fetta'	1
 u'sitting_on_forgis'	1
 u'continually'	4
 u'newburynh'	1
 u'much'	21
 u'yogadaily'	3
 u'taschen'	1
 u'slimmingworlduk#slimmingworldsupport#slimmingworldfamily'	1
 u'cautiously'	1
 u'lagacilly'	1
 u'foxshox'	1
 u'originally'	212
 u'violently'	1
 u'onthedaily'	1
 u'there'	446
 u'coke"'	2
 u'isssss'	1
 u'rvfamily'	1
 u'toddlersofinstagram'	2
 u'pic.twitter.com/fuvmodda6q'	7
 u'creative\U0001f60d'	1
 u'lasallebacolod'	2
 u'even'	138
 u'happyhealthyfamily'	1
 u'fullly'	1
 u'readily'	7
 u'interiordesignideas'	1
 u'loud'	1
 u'https://m.youtube.com/watch?v=ycgpsnswzjc'	1
 u'painfully'	1
 u'way'	41
 u'whateverelse'	1
 u'badly'	13
 u'austria'	3
 u'czekam'	1
 u'nagel'	4
 u'inevitably'	3
 u'very'	100
 u'creamsodafloat'	1
 u'happyhereandnow'	1
 u'onceuponatime'	2
 u'ideologically'	1
 u'originallogo'	1
 u'chickensandwich'	1
 u'ct'	2
 u'vintagehalloweencokead'	2
 u'bright'	62
 u'aksdastan'	1
 u'too\U0001f600\U0001f382'	1
 u'matter'	33
 u'ilovenorway'	1
 u'wwukfamily'	1
 u'tragically'	2
 u'thoroughly'	8
 u'artistloft'	1
 u'newcastleupontyne'	1
 u'kithnyc'	17
 u'iliveherenow'	1
 u'mua'	8
 u'reeeeally'	1
 u'offically'	1
 u'somehow'	4
 u'mainly'	21
 u'\U0001f334'	8
 u'rating:\U0001f485\U0001f3fb\U0001f485\U0001f3fb\U0001f485'	1
 u'jolly'	1
 u'comfortably'	4
 u'tequila'	13
 u'biere'	2
 u'cokezeroisgoodtoo'	1
 u'happymelly'	1
 u'anytime'	46
 u'\U0001f34e\U0001f48bsnow'	1
 u'bouly'	1
 u'livingnaturally'	1
 u'mornong'	1
