name,count
finally,14
specially,11
even,16
exactly,13
memesdaily,20
weirdly,14
here,10
originally,13
otaku,10
normie,25
soon,10
actually,19
portmore,11
not,16
now,20
skol,10
hard,208
instadaily,29
really,29
💯,11
olharesdesampa,13
so,32
why,28
later,14
away,16
pretty,22
better,13
just,26
when,23
gmt,14
honestly,15
right,36
how,19
there,12
damn,208
instead,421
supreme,11
ago,23
